"","year","model","anomaly"
"356",1935,"CNRM-CM6-1.nc",18.0895247530054
"357",1935,"EC-Earth3-CC.nc",18.3585725228879
"358",1935,"INM-CM5-0.nc",17.1844768020028
"359",1935,"MIROC-ES2L.nc",17.4509414983414
"360",1935,"MIROC6.nc",17.8981936681583
"361",1936,"ACCESS-CM2.nc",17.1342209892457
"362",1936,"CESM2-WACCM.nc",18.1554957731471
"363",1936,"CIESM.nc",19.2310769769641
"364",1936,"CMCC-CM2-SR5.nc",17.9369916440737
"365",1936,"CMCC-ESM2.nc",17.668109860742
"366",1936,"CNRM-CM6-1.nc",17.8941022474447
"367",1936,"EC-Earth3-CC.nc",18.5486390813493
"368",1936,"INM-CM5-0.nc",17.2839210109683
"369",1936,"MIROC-ES2L.nc",17.521831263554
"370",1936,"MIROC6.nc",17.8883236759195
"371",1937,"ACCESS-CM2.nc",16.9916326947742
"372",1937,"CESM2-WACCM.nc",18.4074755390735
"373",1937,"CIESM.nc",19.4616742466537
"374",1937,"CMCC-CM2-SR5.nc",17.9097395121408
"375",1937,"CMCC-ESM2.nc",17.6755163768388
"376",1937,"CNRM-CM6-1.nc",17.718224355378
"377",1937,"EC-Earth3-CC.nc",17.9855853491075
"378",1937,"INM-CM5-0.nc",17.0994728997009
"379",1937,"MIROC-ES2L.nc",17.3616794928693
"380",1937,"MIROC6.nc",17.8002637542794
"381",1938,"ACCESS-CM2.nc",17.0131739234616
"382",1938,"CESM2-WACCM.nc",18.7320094358624
"383",1938,"CIESM.nc",18.9769867498035
"384",1938,"CMCC-CM2-SR5.nc",17.7121408432021
"385",1938,"CMCC-ESM2.nc",17.6927539046735
"386",1938,"CNRM-CM6-1.nc",17.8554421841616
"387",1938,"EC-Earth3-CC.nc",18.0239318994811
"388",1938,"INM-CM5-0.nc",16.8702236959322
"389",1938,"MIROC-ES2L.nc",17.7249362508564
"390",1938,"MIROC6.nc",17.8348926766689
"391",1939,"ACCESS-CM2.nc",17.0553163756053
"392",1939,"CESM2-WACCM.nc",18.9000650587598
"393",1939,"CIESM.nc",18.8815296106422
"394",1939,"CMCC-CM2-SR5.nc",17.7487251286152
"395",1939,"CMCC-ESM2.nc",17.8247455593132
"396",1939,"CNRM-CM6-1.nc",17.8486817339029
"397",1939,"EC-Earth3-CC.nc",18.242915830641
"398",1939,"INM-CM5-0.nc",17.0212521557618
"399",1939,"MIROC-ES2L.nc",18.1153274445401
"400",1939,"MIROC6.nc",17.7778562038561
"401",1940,"ACCESS-CM2.nc",17.2950742980123
"402",1940,"CESM2-WACCM.nc",18.6657602538571
"403",1940,"CIESM.nc",18.8860341806467
"404",1940,"CMCC-CM2-SR5.nc",17.5626435617507
"405",1940,"CMCC-ESM2.nc",17.8319248106735
