"year","ACCESS-CM2_245","ACCESS-ESM1-5_245","BCC-CSM2-MR_245","CAMS-CSM1-0_245","CanESM5-CanOE_245","CanESM5_245","CESM2-WACCM_245","CESM2_245","CIESM_245","CMCC-CM2-SR5_245","CMCC-ESM2_245","GISS-E2-1-G_245","HadGEM3-GC31-LL_245","INM-CM4-8_245","INM-CM5-0_245","MIROC-ES2L_245","MIROC6_245","NorESM2-LM_245","NorESM2-MM_245","UKESM1-0-LL_245"
1977,0.00477013773119598,0.0193749852175637,0.212369049601855,0.283546174888846,0.207534693747961,0.292058214438682,0.0435488116951868,-0.0109658619991911,0.43297392297295,0.443221970299752,0.389300458277583,0.0881558816576891,-0.01718703589123,0.238799637052153,0.242509068723288,0.118249415525318,0.0454575139990655,-0.128639576375015,-0.0973115250586956,-0.209695327289983
1978,0.015641776151072,0.0321605794415177,0.222224672755012,0.287896318097375,0.225251138102551,0.309159721839292,0.0547245468511877,-0.000647154938565559,0.442362412188739,0.45689946029056,0.399438648524073,0.0988658851590322,-0.00359331357402873,0.246997372372811,0.251413493205229,0.12823676934368,0.0534487033639734,-0.118477707951153,-0.0873495089185334,-0.19514268188452
1979,0.0267856072529586,0.0455191350621245,0.232321370683921,0.292054433048341,0.243704864605243,0.326805525314751,0.0663546107120415,0.0101111296679915,0.45177565755824,0.47072429275809,0.409439768400542,0.110025662596584,0.0105536550686444,0.255385532808106,0.260571193389866,0.138540571295314,0.0617299691374805,-0.107754008439221,-0.0769042333785449,-0.179799748428351
1980,0.0382122773931685,0.0594340135102745,0.242656482159631,0.296046395365499,0.262869465128279,0.34498205241849,0.0784285979588666,0.0213009929310795,0.461224162020073,0.484710552536157,0.419344948567107,0.121619980004511,0.0252430919181506,0.263965612628552,0.269977517555054,0.14915651060157,0.0702987163208227,-0.0964857603197833,-0.0659863873906965,-0.16368915796013
1981,0.0499324329280144,0.0738885762168582,0.253227345953195,0.299898080672601,0.282718531543899,0.36367573070394,0.0909361032727819,0.0329144359612976,0.470718428512857,0.498872324458576,0.429195319683884,0.13363360341698,0.0404642188558514,0.272739106104664,0.279627813978646,0.1600802764838,0.0791523499152357,-0.0846902460734052,-0.0546066599069547,-0.146833541518508
1982,0.061956720213809,0.0888661846127657,0.264031300835662,0.303635364593399,0.303225655724344,0.382872987724534,0.103866721334906,0.0449434598692451,0.480268959975211,0.513223693359159,0.439032012410989,0.146051298868157,0.0562062577631081,0.281707507506956,0.289517430938497,0.171307558163355,0.0882882749219556,-0.0723847481806509,-0.042775739879286,-0.12925553014214
1983,0.074295785606865,0.104350200128888,0.275065685578085,0.307284122751647,0.324364429541855,0.402560251033701,0.117210046826357,0.0573800657655214,0.489886259345752,0.527778744071722,0.44889615740854,0.158857832392209,0.0724584305212818,0.290872311105942,0.299641716712461,0.182834044861587,0.0977038963422182,-0.059586549122085,-0.0305043162596566,-0.110977754869678
1984,0.0869602754634951,0.120323984196114,0.286327838951514,0.310870230771098,0.346108444868673,0.422723948184874,0.130955674428255,0.0702162547607257,0.499580829563102,0.542551561430079,0.458828885336652,0.172037970023302,0.0892099590117341,0.300235011172137,0.309996019578392,0.194655425799846,0.107396619177259,-0.0463129313782721,-0.017803078000033,-0.0920228467397742
1985,0.0999608361400121,0.136770898245335,0.297815099726999,0.314419564275504,0.368431293577038,0.443350506731483,0.145093198821717,0.0834440279654574,0.509363173565877,0.557556230268043,0.468871326855442,0.185576477795603,0.106450065115826,0.309797101976055,0.320575687814144,0.206767390199485,0.117363848428315,-0.0325811774297767,-0.00468271405238176,-0.0724134367910822
1986,0.113308113992729,0.153674303707442,0.309524806675593,0.317957998888618,0.391306567539191,0.464426354226961,0.159612214687862,0.0970553864903157,0.519243794292697,0.572806835419429,0.479064612625027,0.199458121743279,0.124167970714919,0.31956007778821,0.331376069697571,0.219165627281854,0.127602989096621,-0.0184085697571634,0.00884608663133084,-0.0521721560622547
1987,0.127012755377957,0.171017562013325,0.321454298568345,0.321511410234193,0.414707858627374,0.485937918224737,0.174502316707809,0.1110423314459,0.529233194682182,0.588317461718052,0.489449873305522,0.213667667900496,0.142352897690375,0.329525432879117,0.342392513506528,0.231845826268304,0.138111446183414,-0.00381239084099676,0.0227726350991383,-0.0313216355919446
1988,0.141085406652011,0.188784034593873,0.333600914176307,0.325105673935983,0.438608758713827,0.507871626278245,0.189753099562677,0.12539686394281,0.53934187767295,0.604102193997725,0.500068239557044,0.228189882301421,0.160994067923555,0.33969466151929,0.353620367518869,0.244803676380188,0.148886624689928,0.0111900768381586,0.0370862423990743,-0.00988450641880483
1989,0.155536714171203,0.206957082879978,0.345961992270529,0.328766665617739,0.462982859670791,0.530213905940914,0.205354157933584,0.140110985091644,0.549580346203619,0.620175117092263,0.51096084203971,0.24300953098022,0.180080703295819,0.350069257979244,0.365054980012447,0.258034866838857,0.159925929617401,0.0265815507997382,0.0517762195791723,0.0121166004185119
1990,0.170377324291845,0.225520068302529,0.358534871622063,0.332520260903214,0.487803753370507,0.552951184766176,0.221295086501649,0.155176696003002,0.55995910321281,0.63655031583548,0.522168811413637,0.258111379971059,0.19960202568853,0.360650716529493,0.376691699265118,0.271535086865661,0.171226765967068,0.0423447485631773,0.066831877687466,0.0346590538813525
1991,0.18561788337025,0.244456352292418,0.37131689100196,0.336392335416163,0.513045031685216,0.576069890307463,0.23756547994799,0.170585997787483,0.57048865163914,0.653241875061189,0.533733278338939,0.273480195308106,0.219547256983049,0.371440531440552,0.388525873554734,0.285300025681952,0.182786538740165,0.0584623876479115,0.0822425277719889,0.0577202229310643
