"Year","Estimate","LCI","UCI","variable"
1980,1.05053959748365,1.00029881423591,1.10257162445559,"Risk ratio"
1981,1.24073542113477,1.13786385782099,1.35440173699861,"Risk ratio"
1982,1.10846158568698,1.06974658375281,1.14644365684459,"Risk ratio"
1983,1.4494859854153,1.32916133874706,1.58365178513479,"Risk ratio"
1984,1.62006717539204,1.48029501027455,1.775555689557,"Risk ratio"
1985,1.198361914158,1.15929277485934,1.23619409810447,"Risk ratio"
1986,1.27591361414107,1.22507133516627,1.330763881623,"Risk ratio"
1987,1.36250003657917,1.30014171025821,1.43204828516762,"Risk ratio"
1988,1.37846131767564,1.32801290403069,1.43311471980499,"Risk ratio"
1989,1.4638185437863,1.40506280520856,1.52914425962569,"Risk ratio"
1990,1.47429837271849,1.42370742664982,1.53035576138931,"Risk ratio"
1991,1.41950917643316,1.37447683397293,1.46809046329719,"Risk ratio"
1992,1.5123304066717,1.46271145833939,1.56738743050126,"Risk ratio"
1993,1.94145022570829,1.84059289033268,2.0497852237041,"Risk ratio"
1994,1.73547964027625,1.66944713218465,1.80855479743376,"Risk ratio"
1995,1.59198013474555,1.53626110813653,1.65317320908917,"Risk ratio"
1996,1.71812101792689,1.65589764096381,1.78803576509582,"Risk ratio"
1997,3.34097601043516,3.06942306158973,3.62880587486403,"Risk ratio"
1998,2.48324089674669,2.35718038874112,2.62053648694712,"Risk ratio"
1999,1.50200188762134,1.4482541631397,1.56160112483576,"Risk ratio"
2000,1.8243888126889,1.7490517954251,1.90627038155483,"Risk ratio"
2001,2.05350740413635,1.96605223543136,2.15078245087686,"Risk ratio"
2002,2.41442693996448,2.30144592743424,2.54115196918157,"Risk ratio"
2003,4.73296105528909,4.35705810604821,5.14194078895957,"Risk ratio"
2004,3.74474493581256,3.51624792609684,3.99724819697828,"Risk ratio"
2005,6.25292338106242,5.6911521014433,6.86651927392851,"Risk ratio"
2006,2.22453032009729,2.11007325362831,2.35011335005655,"Risk ratio"
2007,1.81359546718435,1.72765628691152,1.90958813277398,"Risk ratio"
2008,1.6349055559523,1.56413031796432,1.71417327486978,"Risk ratio"
2009,1.93564783060029,1.83655743734597,2.04536822535405,"Risk ratio"
2010,3.46117604705769,3.24909583353415,3.69714944347513,"Risk ratio"
2011,2.79826373734401,2.62692266313787,2.98940447832886,"Risk ratio"
