"model","year","warming"
"CanESM5",2024,1.68025376263142
"CanESM5",2025,1.7583367912042
"CanESM5",2026,1.84011756730985
"CanESM5",2027,1.92468698159863
"CanESM5",2028,2.01114150478257
"CanESM5",2029,2.09866414990695
"CanESM5",2030,2.18661474165526
"CESM2-WACCM",1940,-0.00934427128235284
"CESM2-WACCM",1941,-0.00895837933577741
"CESM2-WACCM",1942,-0.00864373555968545
"CESM2-WACCM",1943,-0.00850903230788584
"CESM2-WACCM",1944,-0.00869629128262483
"CESM2-WACCM",1945,-0.00936698433255977
"CESM2-WACCM",1946,-0.0106890047601606
"CESM2-WACCM",1947,-0.0128245944280061
"CESM2-WACCM",1948,-0.0159193690000654
"CESM2-WACCM",1949,-0.0200926185899429
"CESM2-WACCM",1950,-0.0254290891984001
"CESM2-WACCM",1951,-0.0319724663840512
"CESM2-WACCM",1952,-0.0397207815591215
"CESM2-WACCM",1953,-0.0486239389343949
"CESM2-WACCM",1954,-0.0585835147796788
"CESM2-WACCM",1955,-0.0694549097162809
"CESM2-WACCM",1956,-0.0810518410442252
"CESM2-WACCM",1957,-0.0931530500127415
"CESM2-WACCM",1958,-0.105510975268052
"CESM2-WACCM",1959,-0.117862017277584
"CESM2-WACCM",1960,-0.129937899537433
"CESM2-WACCM",1961,-0.141477531583932
"CESM2-WACCM",1962,-0.152238706632092
"CESM2-WACCM",1963,-0.162008932074217
"CESM2-WACCM",1964,-0.170614700826904
"CESM2-WACCM",1965,-0.177928569281319
"CESM2-WACCM",1966,-0.183873513428291
"CESM2-WACCM",1967,-0.188424184729009
"CESM2-WACCM",1968,-0.191604873756222
"CESM2-WACCM",1969,-0.193484201335022
"CESM2-WACCM",1970,-0.194166779885187
"CESM2-WACCM",1971,-0.193782306125161
"CESM2-WACCM",1972,-0.192472743831983
"CESM2-WACCM",1973,-0.190378416215544
"CESM2-WACCM",1974,-0.187623937869898
"CESM2-WACCM",1975,-0.184304965571646
"CESM2-WACCM",1976,-0.180476728908432
"CESM2-WACCM",1977,-0.176145214179641
"CESM2-WACCM",1978,-0.171261721726886
"CESM2-WACCM",1979,-0.16572130643744
"CESM2-WACCM",1980,-0.159365356860041
"CESM2-WACCM",1981,-0.151988287186283
"CESM2-WACCM",1982,-0.1433480278718
"CESM2-WACCM",1983,-0.133179725647321
"CESM2-WACCM",1984,-0.121211822452299
