"ACCESS-CM2.nc_piControl","date"
14.8345810576115,04/01/34
15.8736656896369,05/01/34
17.6109970223106,06/01/34
19.7800394261095,07/01/34
21.2099909175288,08/01/34
21.1263157909019,09/01/34
19.5740024817732,10/01/34
17.8285249943108,11/01/34
16.2048484132428,12/01/34
15.1451488311119,01/01/35
14.5064206250544,02/01/35
14.4477393674199,03/01/35
14.7576755237218,04/01/35
15.7501268722759,05/01/35
17.5971592641728,06/01/35
19.5687995419829,07/01/35
20.8642785754117,08/01/35
20.8098920944603,09/01/35
19.4778623043779,10/01/35
17.7794559922755,11/01/35
16.3417937048794,12/01/35
15.1952675181551,01/01/36
14.6329598168429,02/01/36
14.5899782389435,03/01/36
15.0280023983093,04/01/36
15.980739838063,05/01/36
17.8510469107273,06/01/36
19.8477284150531,07/01/36
21.2022714209838,08/01/36
21.1097414287273,09/01/36
19.5417775595271,10/01/36
17.7406968331691,11/01/36
16.2809468868306,12/01/36
15.2651080805236,01/01/37
14.5667932070688,02/01/37
14.409124263291,03/01/37
14.8027545993627,04/01/37
15.9076551752233,05/01/37
17.8467157898986,06/01/37
19.9200100925406,07/01/37
21.1865276877389,08/01/37
21.0047636767049,09/01/37
19.6045599786684,10/01/37
17.6596159076082,11/01/37
16.1520789163734,12/01/37
15.0876549257039,01/01/38
14.4928502717218,02/01/38
14.3756878695218,03/01/38
14.7271831158874,04/01/38
15.7067222705474,05/01/38
17.6910108617272,06/01/38
19.8180147631405,07/01/38
21.242180596967,08/01/38
21.1391676314875,09/01/38
19.5304544858698,10/01/38
17.64140088259,11/01/38
16.1285818755146,12/01/38
15.0257890398366,01/01/39
14.4278837896919,02/01/39
14.3061377299175,03/01/39
14.7658241014535,04/01/39
15.846120902152,05/01/39
17.715724770664,06/01/39
19.7260497571488,07/01/39
21.2237782343978,08/01/39
20.9041298210293,09/01/39
19.4268710274368,10/01/39
17.5414637331738,11/01/39
16.125885250038,12/01/39
14.9824069053982,01/01/40
14.4817918495255,02/01/40
14.3089298413768,03/01/40
14.8567584755804,04/01/40
15.880321844586,05/01/40
17.5590088144398,06/01/40
19.5728803287415,07/01/40
20.754065173868,08/01/40
20.6917311093239,09/01/40
19.4710636363242,10/01/40
17.8536797687483,11/01/40
16.3154948607891,12/01/40
15.2636415391781,01/01/41
14.7469766883002,02/01/41
14.5580239153822,03/01/41
14.8439256881378,04/01/41
15.9457163064649,05/01/41
17.6432891261593,06/01/41
19.5509150284229,07/01/41
21.0934275329301,08/01/41
20.9987678838697,09/01/41
19.4234910218874,10/01/41
17.6326750937444,11/01/41
16.0924053534278,12/01/41
15.0726940233304,01/01/42
14.5253822469321,02/01/42
14.4320578597578,03/01/42
14.8113404081805,04/01/42
15.8861052995034,05/01/42
17.7299435916628,06/01/42
19.6364536185198,07/01/42
21.2685654555354,08/01/42
21.0810226152027,09/01/42
19.5448214367957,10/01/42
17.7373115411985,11/01/42
16.2130251852209,12/01/42
15.071639712704,01/01/43
14.4057806018873,02/01/43
14.2394183587275,03/01/43
14.5922181396559,04/01/43
15.5317270813141,05/01/43
17.0798600427519,06/01/43
19.2066191167838,07/01/43
20.6097829904201,08/01/43
20.5577483060963,09/01/43
19.0957405072402,10/01/43
17.5813595829702,11/01/43
16.1638094849975,12/01/43
15.0674957091587,01/01/44
14.4379643341016,02/01/44
14.3032240307707,03/01/44
14.6547045192105,04/01/44
15.8076541482177,05/01/44
17.5772079801944,06/01/44
19.5410947301231,07/01/44
20.8656771642182,08/01/44
20.8116340803767,09/01/44
19.313450640504,10/01/44
17.5584303918544,11/01/44
16.0345748792039,12/01/44
14.9683171611835,01/01/45
14.3789313091904,02/01/45
14.2804438506522,03/01/45
14.6583371716393,04/01/45
15.5602327859844,05/01/45
17.1856325200933,06/01/45
19.3688372462645,07/01/45
20.9378544348871,08/01/45
20.8291992059897,09/01/45
19.3591128744826,10/01/45
17.5536645730164,11/01/45
16.1271235942021,12/01/45
15.0272924759968,01/01/46
14.474173345652,02/01/46
14.3484855980766,03/01/46
14.6455771826219,04/01/46
15.7240303439299,05/01/46
17.3406253232767,06/01/46
19.4069232677392,07/01/46
